t,stiff_force,compliant_force,stiff_torque,compliant_torque
0.5860,0.0000,0.0000,1063.1883,208.5193
0.5880,0.0000,0.0000,1063.2366,205.8280
0.5900,0.0000,0.0000,1063.1993,208.7473
0.5920,0.0000,0.0000,1063.2565,206.0333
0.5940,0.0000,0.0000,1063.2262,208.9393
0.5960,0.0000,0.0000,1063.2920,206.2081
0.5980,0.0000,0.0000,1063.2676,209.1003
0.6000,0.0000,0.0000,1063.3367,206.3562
0.6020,0.0000,0.0000,1063.3165,209.2386
0.6040,0.0000,0.0000,1063.3855,206.4859
0.6060,0.0000,0.0000,1063.3703,209.3624
0.6080,0.0000,0.0000,1063.4417,206.6031
0.6100,0.0000,0.0000,1063.4262,209.4738
0.6120,0.0000,0.0000,1063.4952,206.7063
0.6140,0.0000,0.0000,1063.4816,209.5726
0.6160,0.0000,0.0000,1063.5491,206.7993
0.6180,0.0000,0.0000,1063.5463,209.6239
0.6200,0.0000,0.0000,1063.6264,206.8624
0.6220,0.0000,0.0000,1063.6231,209.7311
0.6240,0.0000,0.0000,1063.6987,206.9533
0.6260,0.0000,0.0000,1062.4199,207.8083
0.6280,0.0000,0.0000,1062.4830,205.3126
0.6300,0.0000,0.0000,1062.4630,208.3857
0.6320,0.0000,0.0000,1062.5360,205.7593
0.6340,0.0000,0.0000,1062.5324,208.7418
0.6360,0.0000,0.0000,1062.6152,206.0505
0.6380,0.0000,0.0000,1062.6074,208.9983
0.6400,0.0000,0.0000,1062.6876,206.2737
0.6420,0.0000,0.0000,1062.6830,209.1885
0.6440,0.0000,0.0000,1062.7646,206.4431
0.6460,0.0000,0.0000,1062.7677,209.3477
0.6480,0.0000,0.0000,1062.8537,206.5781
0.6500,0.0000,0.0000,1062.8513,209.4659
0.6520,0.0000,0.0000,1062.9127,206.6914
0.6540,0.0000,0.0000,1062.8909,209.5873
0.6560,0.0000,0.0000,1062.9802,206.8034
0.6580,0.0000,0.0000,1062.9806,209.6824
0.6600,0.0000,0.0000,1063.0576,206.8963
0.6620,0.0000,0.0000,1063.0397,209.7762
0.6640,0.0000,0.0000,1063.0988,206.9706
0.6660,0.0000,0.0000,1063.0740,209.8370
0.6680,0.0000,0.0000,1063.1331,207.0384
0.6700,0.0000,0.0000,1063.1067,209.9090
0.6720,0.0000,0.0000,1063.1728,207.0336
0.6740,0.0000,0.0000,1063.1502,210.3636
0.6760,0.0000,0.0000,1061.6078,203.0576
0.6780,0.0000,0.0000,1061.5424,208.8757
0.6800,0.0000,0.0000,1061.5736,206.0360
0.6820,0.0000,0.0000,1061.5222,208.8026
0.6840,0.0000,0.0000,1061.5636,206.0254
0.6860,0.0000,0.0000,1061.5324,208.9593
0.6880,0.0000,0.0000,1061.5869,206.2309
0.6900,0.0000,0.0000,1061.5503,209.1669
0.6920,0.0000,0.0000,1061.5988,206.4116
0.6940,0.0000,0.0000,1061.5792,209.3443
0.6960,0.0000,0.0000,1061.6267,206.5883
0.6980,0.0000,0.0000,1061.5930,209.5003
0.7000,0.0000,0.0000,1061.6484,206.7261
0.7020,0.0000,0.0000,1061.6211,209.6271
0.7040,0.0000,0.0000,1061.6665,206.8404
